Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.019624318927526474,0.019858011975884438,0.09604434669017792,0.14091845860597693,0.5322601795196533
80458.xlsx,0.02320227213203907,0.021913807839155197,0.1108885183930397,0.14803313088344514,0.6006811857223511
26323 (1).xlsx,0.027259623631834984,0.002563978312537074,0.04072501137852669,0.05063574145341484,0.11818540096282959
43823 (1).xlsx,0.014995414763689041,0.015536111779510975,0.0703873559832573,0.1246439400031585,0.06247568130493164
43976.xlsx,0.019995158538222313,0.019116654992103577,0.09187593311071396,0.1382629921276969,0.6617716550827026
42945.xlsx,0.016581010073423386,0.011041495949029922,0.07782737165689468,0.105078522777159,0.7219766974449158
80543.xlsx,0.025371259078383446,0.022240160033106804,0.11022909730672836,0.14913135161027277,0.6329478025436401
86229.xlsx,0.0389801487326622,0.035651374608278275,0.14247682690620422,0.1888157159991675,0.6501396894454956
42148.xlsx,0.021872349083423615,0.02289094589650631,0.10824403166770935,0.15129754094666018,0.42988961935043335
72122.xlsx,0.01948232762515545,0.021417349576950073,0.108311727643013,0.14634667600239534,0.5189017057418823
80459.xlsx,0.012869160622358322,0.019799640402197838,0.09423310309648514,0.1407111950137509,0.552234411239624
85295.xlsx,0.009867897257208824,0.009797186590731144,0.06642044335603714,0.09898073848346023,0.499000608921051
80134.xlsx,0.024881230667233467,0.026197461411356926,0.1235022023320198,0.16185629864591902,0.5238971710205078
87587.xlsx,0.006808133330196142,0.013504255563020706,0.096683070063591,0.1162078119707135,0.647808849811554
37402.xlsx,0.019277183338999748,0.018560215830802917,0.0924767330288887,0.13623588305143003,0.7212284803390503
88842.xlsx,0.021719306707382202,0.016794728115200996,0.10485704243183136,0.12959447563534873,0.7732517719268799
87581.xlsx,0.006557409651577473,0.010221432894468307,0.0747944563627243,0.10110110234052004,0.7237237691879272
43989.xlsx,0.03175511956214905,0.029097892343997955,0.12265773862600327,0.1705810433313091,0.715699315071106
40574.xlsx,0.015244445763528347,0.017524560913443565,0.10308274626731873,0.13238036453131397,0.499045729637146
43821.xlsx,0.01589963585138321,0.020782768726348877,0.10127940028905869,0.1441622999481795,0.2842835783958435
42149.xlsx,0.020539162680506706,0.023610135540366173,0.10736484080553055,0.15365589979029823,0.6223207712173462
38764.xlsx,0.01475552935153246,0.01249641552567482,0.08396591246128082,0.11178736746911441,0.33755946159362793
26323.xlsx,0.027259623631834984,0.002563978312537074,0.04072501137852669,0.05063574145341484,0.11818540096282959
40575.xlsx,0.016079509630799294,0.013778512366116047,0.0911225825548172,0.11738190817206903,0.6239352822303772
72022.xlsx,0.03850806877017021,0.033882394433021545,0.1307801604270935,0.1840717100290578,0.6820478439331055
43823.xlsx,0.014995414763689041,0.015536111779510975,0.0703873559832573,0.1246439400031585,0.06247568130493164
26898.xlsx,0.021129267290234566,0.01760784722864628,0.09831631183624268,0.13269456367404914,0.6590815186500549
87588.xlsx,0.008191930130124092,0.010765322484076023,0.07776786386966705,0.10375607203472972,0.80781090259552
43382.xlsx,0.015803756192326546,0.020732156932353973,0.09737268090248108,0.14398665539679006,0.5246496200561523
87579.xlsx,0.00351586751639843,0.003387747798115015,0.043973345309495926,0.05820436236327149,0.6866388916969299
42760.xlsx,0.01853214204311371,0.01837911270558834,0.10127196460962296,0.13556958621161436,0.6481406688690186
36284.xlsx,0.019624147564172745,0.021729325875639915,0.0922393798828125,0.14740870352743735,0.5910634994506836
