Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.06722326576709747,0.04421834275126457,0.1821567565202713,0.2102815796765484,-0.04152822494506836
80458.xlsx,0.07383345067501068,0.07269211858510971,0.22635190188884735,0.2696147595832055,-0.32461392879486084
26323 (1).xlsx,0.253358393907547,0.011927584186196327,0.0984695553779602,0.10921347987403536,-3.102186679840088
43823 (1).xlsx,0.052583590149879456,0.01657324656844139,0.07380814105272293,0.12873712195183404,-0.00011014938354492188
43976.xlsx,0.06238026171922684,0.06282810121774673,0.21366193890571594,0.250655343485326,-0.11160898208618164
42945.xlsx,0.11745958030223846,0.049191609025001526,0.174508735537529,0.22179181460324798,-0.2386378049850464
80543.xlsx,0.09592771530151367,0.07943680137395859,0.22910335659980774,0.2818453501017155,-0.3110271692276001
86229.xlsx,0.13697315752506256,0.0871538296341896,0.2661663889884949,0.29521827456001026,0.1447266936302185
42148.xlsx,0.06189928948879242,0.03931370750069618,0.1705145537853241,0.19827684559901637,0.02087259292602539
72122.xlsx,0.06195187568664551,0.04315250366926193,0.17636720836162567,0.20773180707167097,0.03066462278366089
80459.xlsx,0.044120725244283676,0.038420725613832474,0.15336377918720245,0.1960120547666201,0.1311216950416565
85295.xlsx,0.04139884188771248,0.01953745260834694,0.1046869233250618,0.1397764379584304,0.0009119510650634766
80134.xlsx,0.07943107187747955,0.04729070886969566,0.1794193983078003,0.21746427032893395,0.14055633544921875
87587.xlsx,0.04338044300675392,0.03760445863008499,0.1570158302783966,0.1939186907703458,0.019275307655334473
37402.xlsx,0.06671098619699478,0.05741988494992256,0.2008906602859497,0.23962446650941668,0.13756239414215088
88842.xlsx,0.13199026882648468,0.06414539366960526,0.21349260210990906,0.25326940926532215,0.13396292924880981
87581.xlsx,0.03346721827983856,0.029915999621152878,0.14742670953273773,0.17296242256962313,0.19139724969863892
43989.xlsx,0.11493521928787231,0.08642902225255966,0.26418161392211914,0.2939881328430787,0.15554606914520264
40574.xlsx,0.06313706189393997,0.03548264876008034,0.1451788693666458,0.1883683857765956,-0.014301300048828125
43821.xlsx,0.02769067883491516,0.026655588299036026,0.1297946572303772,0.16326539222699962,0.08203554153442383
42149.xlsx,0.0629555955529213,0.05309762805700302,0.19218572974205017,0.23042922570065416,0.15062445402145386
38764.xlsx,0.07369589060544968,0.02323267050087452,0.12568198144435883,0.15242267056076178,-0.2315741777420044
26323.xlsx,0.253358393907547,0.011927584186196327,0.0984695553779602,0.10921347987403536,-3.102186679840088
40575.xlsx,0.09448428452014923,0.04813557118177414,0.17714232206344604,0.21939820232119983,-0.31379127502441406
72022.xlsx,0.12423580139875412,0.10396133363246918,0.29288148880004883,0.32243035470077747,0.024427711963653564
43823.xlsx,0.052583590149879456,0.01657324656844139,0.07380814105272293,0.12873712195183404,-0.00011014938354492188
26898.xlsx,0.08618325740098953,0.07877147942781448,0.2383018583059311,0.28066257218912266,-0.5251524448394775
87588.xlsx,0.05041371285915375,0.04447079822421074,0.17904077470302582,0.21088100489188386,0.20608025789260864
43382.xlsx,0.04518177732825279,0.038295213133096695,0.14163656532764435,0.19569162765201964,0.12196087837219238
87579.xlsx,0.017731521278619766,0.016970213502645493,0.09645404666662216,0.13026977202192952,-0.5697168111801147
42760.xlsx,0.07073783874511719,0.05947897955775261,0.21076717972755432,0.2438831268410191,-0.13869667053222656
36284.xlsx,0.04910818114876747,0.044507965445518494,0.1725103259086609,0.21096911016904463,0.16237932443618774
