Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.02090061828494072,0.020375706255435944,0.09729759395122528,0.14274349811965498,0.5200662612915039
80458.xlsx,0.024715552106499672,0.022802671417593956,0.1137240082025528,0.15100553439392198,0.5844841003417969
26323 (1).xlsx,0.033185865730047226,0.00147871277295053,0.02982952445745468,0.03845403454711261,0.49143463373184204
43823 (1).xlsx,0.01625192165374756,0.015698667615652084,0.07274897396564484,0.12529432395624346,0.05266618728637695
43976.xlsx,0.021104825660586357,0.01960422284901142,0.09359633177518845,0.14001508079136127,0.6531451940536499
42945.xlsx,0.019130917266011238,0.012118875049054623,0.08270575851202011,0.11008576224496346,0.6948484182357788
80543.xlsx,0.027345072478055954,0.023247698321938515,0.11387325078248978,0.15247195913327313,0.6163193583488464
86229.xlsx,0.04187845066189766,0.037094734609127045,0.1465301215648651,0.19259993408391146,0.6359754204750061
42148.xlsx,0.023006411269307137,0.023513231426477432,0.10935676842927933,0.15334024724930317,0.41439127922058105
72122.xlsx,0.02064870484173298,0.02207072637975216,0.10999588668346405,0.14856219700769155,0.5042248964309692
80459.xlsx,0.013514184392988682,0.02100299671292305,0.09793079644441605,0.14492410673494954,0.5250207185745239
85295.xlsx,0.010839292779564857,0.010726813226938248,0.07331514358520508,0.10357032985820915,0.4514622092247009
80134.xlsx,0.02650316245853901,0.02730504423379898,0.12632714211940765,0.16524238025942067,0.5037683248519897
87587.xlsx,0.007734998594969511,0.014827646315097809,0.10114668309688568,0.12176882324756945,0.6132948398590088
37402.xlsx,0.020645806565880775,0.018951518461108208,0.09400798380374908,0.13766451416798814,0.7153512239456177
88842.xlsx,0.02470686100423336,0.01769181899726391,0.10749880969524384,0.13301059731188306,0.761139988899231
87581.xlsx,0.007311190944164991,0.011006250977516174,0.07734940201044083,0.1049106809505885,0.7025108337402344
43989.xlsx,0.03417942672967911,0.029851635918021202,0.12497846782207489,0.17277625970607535,0.7083348631858826
40574.xlsx,0.0165071003139019,0.01789511926472187,0.10474042594432831,0.13377264019492877,0.4884529709815979
43821.xlsx,0.016148747876286507,0.021856019273400307,0.10438220947980881,0.1478378140848961,0.24732297658920288
42149.xlsx,0.02173464000225067,0.024417344480752945,0.10945209860801697,0.15626050198547597,0.6094082593917847
38764.xlsx,0.0163528174161911,0.012892773374915123,0.08512076735496521,0.11354634901622827,0.31654834747314453
26323.xlsx,0.033185865730047226,0.00147871277295053,0.02982952445745468,0.03845403454711261,0.49143463373184204
40575.xlsx,0.018055487424135208,0.01443114411085844,0.09385370463132858,0.12012969703973468,0.606122612953186
72022.xlsx,0.0409797728061676,0.035230234265327454,0.13496433198451996,0.18769718768625027,0.6693997383117676
43823.xlsx,0.01625192165374756,0.015698667615652084,0.07274897396564484,0.12529432395624346,0.05266618728637695
26898.xlsx,0.022917959839105606,0.018624868243932724,0.10148531943559647,0.13647295792182687,0.639390230178833
87588.xlsx,0.009488984942436218,0.0114908991381526,0.07972459495067596,0.10719561156200658,0.7948575019836426
43382.xlsx,0.016519520431756973,0.0218200646340847,0.09980752319097519,0.14771616239966667,0.4997059106826782
87579.xlsx,0.0038769773673266172,0.003925771918147802,0.04850281402468681,0.06265598070533891,0.6368725299835205
42760.xlsx,0.0199141725897789,0.01894182711839676,0.10301464051008224,0.13762931053520816,0.6373677253723145
36284.xlsx,0.020450230687856674,0.022181645035743713,0.09326561540365219,0.14893503629349178,0.5825510025024414
