Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.012817779555916786,0.012595291249454021,0.07137789577245712,0.11222874520128086,0.7033278346061707
80458.xlsx,0.012783619575202465,0.01158754900097847,0.07653922587633133,0.10764547831181052,0.7888488173484802
26323 (1).xlsx,0.01402126532047987,0.004178819712251425,0.05902868136763573,0.06464379097988782,-0.4371979236602783
43823 (1).xlsx,0.01423489861190319,0.014352326281368732,0.05425676703453064,0.11980119482446214,0.13391101360321045
43976.xlsx,0.013723740354180336,0.013073720037937164,0.06792808324098587,0.11434036923998962,0.768688440322876
42945.xlsx,0.01058262586593628,0.007702736184000969,0.06011727824807167,0.08776523334442271,0.806046187877655
80543.xlsx,0.015163914300501347,0.01329757273197174,0.07762739062309265,0.11531510192499393,0.7805364727973938
86229.xlsx,0.023004714399576187,0.02010892517864704,0.09965945035219193,0.14180594197228494,0.8026635646820068
42148.xlsx,0.013011068105697632,0.012827681377530098,0.07808554172515869,0.11325935448134118,0.680520236492157
72122.xlsx,0.012093695811927319,0.012470375746488571,0.07916263490915298,0.11167083659796129,0.7198777794837952
80459.xlsx,0.011450225487351418,0.013774823397397995,0.06952403485774994,0.11736619358826457,0.6884846687316895
85295.xlsx,0.00798699352890253,0.009358178824186325,0.05465921387076378,0.09673768047760048,0.5214501619338989
80134.xlsx,0.014068469405174255,0.013792851939797401,0.08547843992710114,0.117442973139296,0.7493338584899902
87587.xlsx,0.0037431970704346895,0.005724253598600626,0.06320498883724213,0.07565879723205111,0.8507114052772522
37402.xlsx,0.013039880432188511,0.012424863874912262,0.0679517611861229,0.1114668734418987,0.8133804798126221
88842.xlsx,0.012128244154155254,0.009602582082152367,0.07826516777276993,0.09799276545823353,0.8703540563583374
87581.xlsx,0.004151028580963612,0.004805971402674913,0.05016419291496277,0.06932511379489335,0.870098888874054
43989.xlsx,0.020595436915755272,0.018682098016142845,0.09055983275175095,0.1366824715029065,0.8174667358398438
40574.xlsx,0.009708885103464127,0.010798715986311436,0.07595831900835037,0.10391687055676492,0.6913096308708191
43821.xlsx,0.011960226111114025,0.013215400278568268,0.07677487283945084,0.11495825450383398,0.5448883771896362
42149.xlsx,0.01381786447018385,0.014274939894676208,0.07523330301046371,0.1194777799202689,0.7716510891914368
38764.xlsx,0.008851777762174606,0.007130515296012163,0.05975482612848282,0.08444237855491853,0.622008204460144
26323.xlsx,0.01402126532047987,0.004178819712251425,0.05902868136763573,0.06464379097988782,-0.4371979236602783
40575.xlsx,0.010189861059188843,0.00906151719391346,0.06872186064720154,0.09519200173288436,0.7526788711547852
72022.xlsx,0.024096868932247162,0.020960986614227295,0.09600160270929337,0.14477909591590665,0.8033022880554199
43823.xlsx,0.01423489861190319,0.014352326281368732,0.05425676703453064,0.11980119482446214,0.13391101360321045
26898.xlsx,0.013035246171057224,0.01088462583720684,0.0726313665509224,0.10432941022169559,0.7892547845840454
87588.xlsx,0.004052808973938227,0.004449884872883558,0.0512518584728241,0.06670745740083008,0.920557975769043
43382.xlsx,0.011243677698075771,0.012219111435115337,0.06970302760601044,0.11054008971913917,0.7198381423950195
87579.xlsx,0.0024164977949112654,0.00597932655364275,0.06291719526052475,0.07732610525328913,0.4469221234321594
42760.xlsx,0.011870034039020538,0.01150471717119217,0.07467260956764221,0.10726004461677316,0.7797476649284363
36284.xlsx,0.014731107279658318,0.015255571343004704,0.06711535900831223,0.12351344600084925,0.7128967642784119
