Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.031495559960603714,0.02770507149398327,0.1279435157775879,0.16644840490068769,0.3474288582801819
80458.xlsx,0.03804191201925278,0.033954303711652756,0.15349557995796204,0.1842669360239453,0.3812762498855591
26323 (1).xlsx,0.10038306564092636,0.03634846210479736,0.18538743257522583,0.19065272645518963,-11.501121520996094
43823 (1).xlsx,0.05934322252869606,0.016297610476613045,0.0618254654109478,0.1276620949092292,0.016523122787475586
43976.xlsx,0.03581065312027931,0.028819166123867035,0.1387023776769638,0.16976208682702695,0.49010640382766724
42945.xlsx,0.044865962117910385,0.02161283977329731,0.1259566992521286,0.14701305987325516,0.45579177141189575
80543.xlsx,0.04586052894592285,0.03529828041791916,0.1584249883890152,0.18787836601886648,0.4174361824989319
86229.xlsx,0.07322710007429123,0.0576130710542202,0.20459923148155212,0.24002722981824418,0.43462127447128296
42148.xlsx,0.03057274967432022,0.028603844344615936,0.12639150023460388,0.1691267109140834,0.2876070737838745
72122.xlsx,0.030984004959464073,0.030084459111094475,0.13570192456245422,0.1734487218491231,0.32421237230300903
80459.xlsx,0.02754061669111252,0.0229107104241848,0.1249568983912468,0.15136284360497723,0.4818781018257141
85295.xlsx,0.04678347334265709,0.018917622044682503,0.09594545513391495,0.1375413466732186,0.03260833024978638
80134.xlsx,0.03991808369755745,0.037291523069143295,0.15752474963665009,0.19311013196915197,0.3222777843475342
87587.xlsx,0.02082701399922371,0.014881308190524578,0.10135087370872498,0.12198896749511645,0.6118953227996826
37402.xlsx,0.04060608521103859,0.029103174805641174,0.13504111766815186,0.17059652635866057,0.5628749132156372
88842.xlsx,0.05818480998277664,0.0392228402197361,0.17060858011245728,0.19804757059791495,0.47044628858566284
87581.xlsx,0.026164492592215538,0.018977051600813866,0.11367446929216385,0.13775721977745436,0.4870672821998596
43989.xlsx,0.06480050832033157,0.048941679298877716,0.188090980052948,0.22122766395475435,0.5218157768249512
40574.xlsx,0.026412660256028175,0.02387438714504242,0.1271018534898758,0.1545133882388268,0.3175305724143982
43821.xlsx,0.028293680399656296,0.027034806087613106,0.1363782435655594,0.16442264469230844,0.06897610425949097
42149.xlsx,0.03933259844779968,0.027569320052862167,0.13122475147247314,0.16604011579393146,0.5589877367019653
38764.xlsx,0.0254739448428154,0.016371950507164,0.09581106901168823,0.12795292301141073,0.13211560249328613
26323.xlsx,0.10038306564092636,0.03634846210479736,0.18538743257522583,0.19065272645518963,-11.501121520996094
40575.xlsx,0.03622009605169296,0.02223224751651287,0.12439598143100739,0.14910482056765592,0.3932027220726013
72022.xlsx,0.07097402215003967,0.05514039844274521,0.20414741337299347,0.23481992769512813,0.48256295919418335
43823.xlsx,0.05934322252869606,0.016297610476613045,0.0618254654109478,0.1276620949092292,0.016523122787475586
26898.xlsx,0.03928355500102043,0.02752234973013401,0.13244543969631195,0.1658986128035253,0.46711957454681396
87588.xlsx,0.03444218263030052,0.021770868450403214,0.12647300958633423,0.14754954574787146,0.6113332509994507
43382.xlsx,0.028133470565080643,0.022382376715540886,0.11119072139263153,0.14960740862517766,0.4868130683898926
87579.xlsx,0.024912122637033463,0.018067432567477226,0.10230099409818649,0.13441515006678834,-0.6712079048156738
42760.xlsx,0.03459719568490982,0.030624650418758392,0.14104963839054108,0.17499900119360223,0.4137057065963745
36284.xlsx,0.03872132673859596,0.026490816846489906,0.12706589698791504,0.16275999768521104,0.5014542937278748
