Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.01102925930172205,0.011624456383287907,0.06693246960639954,0.10781677227262884,0.7261950969696045
80458.xlsx,0.01024662982672453,0.009677872061729431,0.06850920617580414,0.09837617629146515,0.8236473798751831
26323 (1).xlsx,0.01007167063653469,0.0038707656785845757,0.05688720941543579,0.06221547780564395,-0.3312506675720215
43823 (1).xlsx,0.014332752674818039,0.014554386027157307,0.05616036802530289,0.12064156011573005,0.12171775102615356
43976.xlsx,0.01210752222687006,0.011978222988545895,0.06112801283597946,0.10944506836100883,0.7880709171295166
42945.xlsx,0.008649664930999279,0.006536237895488739,0.050909459590911865,0.08084700300869996,0.8354184627532959
80543.xlsx,0.012691092677414417,0.011636855080723763,0.06934858113527298,0.1078742558756433,0.8079450130462646
86229.xlsx,0.019152237102389336,0.017246058210730553,0.08867120742797852,0.13132424837298917,0.8307579755783081
42148.xlsx,0.010638544335961342,0.011155907064676285,0.07138161361217499,0.10562152746801329,0.7221565842628479
72122.xlsx,0.010108238086104393,0.011183599941432476,0.07403615117073059,0.10575254106371382,0.7487826347351074
80459.xlsx,0.010804848745465279,0.0132316118106246,0.06601438671350479,0.11502874341061281,0.700769305229187
85295.xlsx,0.00749526172876358,0.007132887374609709,0.042951762676239014,0.08445642293283388,0.6352450847625732
80134.xlsx,0.011363006196916103,0.01139969564974308,0.07551992684602737,0.10676935726013845,0.7928261756896973
87587.xlsx,0.002632218413054943,0.004906708840280771,0.05939016118645668,0.07004790389641057,0.8720329999923706
37402.xlsx,0.011512125842273235,0.011318533681333065,0.06083504483103752,0.10638859751558466,0.8299974203109741
88842.xlsx,0.009351113811135292,0.008118588477373123,0.07158287614583969,0.09010321013911282,0.8903896808624268
87581.xlsx,0.0032696393318474293,0.004080526530742645,0.046342890709638596,0.06387899913698276,0.8897070288658142
43989.xlsx,0.01801653765141964,0.016798147931694984,0.08147028833627701,0.12960766926264428,0.8358738422393799
40574.xlsx,0.008074896410107613,0.009414237923920155,0.06938179582357407,0.09702699585125861,0.7308861017227173
43821.xlsx,0.010803472250699997,0.01228250190615654,0.07296226173639297,0.11082644948818193,0.5770155191421509
42149.xlsx,0.012221015989780426,0.012936370447278023,0.06820127367973328,0.11373816618566532,0.7930635213851929
38764.xlsx,0.007100959308445454,0.005857658106833696,0.0511082299053669,0.07653533894113031,0.6894829273223877
26323.xlsx,0.01007167063653469,0.0038707656785845757,0.05688720941543579,0.06221547780564395,-0.3312506675720215
40575.xlsx,0.008332569152116776,0.007679550442844629,0.05988018959760666,0.08763304424042696,0.7903977036476135
72022.xlsx,0.020653482526540756,0.018571369349956512,0.08778724074363708,0.13627681149027707,0.8257263898849487
43823.xlsx,0.014332752674818039,0.014554386027157307,0.05616036802530289,0.12064156011573005,0.12171775102615356
26898.xlsx,0.010785283520817757,0.009331253357231617,0.0645136684179306,0.09659841280907061,0.8193307518959045
87588.xlsx,0.0029730848036706448,0.0035373312421143055,0.04598996415734291,0.05947546756532735,0.9368494153022766
43382.xlsx,0.009899607859551907,0.011466850526630878,0.06661351770162582,0.10708338118788965,0.7370861172676086
87579.xlsx,0.001938423840329051,0.0018292081076651812,0.02895100601017475,0.042769242542570016,0.830801248550415
42760.xlsx,0.009906240738928318,0.009930701926350594,0.06648996472358704,0.09965290726491924,0.8098814487457275
36284.xlsx,0.013601353392004967,0.014298850670456886,0.06077881157398224,0.11957780174621412,0.730901837348938
