Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.014464152045547962,0.01401722151786089,0.07707375288009644,0.11839434749117413,0.6698353886604309
80458.xlsx,0.01539191696792841,0.01380476076155901,0.08494961261749268,0.11749366264424226,0.7484462261199951
26323 (1).xlsx,0.01705649122595787,0.004177791997790337,0.058453235775232315,0.06463584143329718,-0.43684446811676025
43823 (1).xlsx,0.014125729911029339,0.014188721776008606,0.053237851709127426,0.11911642110141073,0.14378368854522705
43976.xlsx,0.01530411932617426,0.01431987714022398,0.07399915903806686,0.11966568906843758,0.7466403245925903
42945.xlsx,0.011995354667305946,0.008373691700398922,0.06433281302452087,0.09150787780513174,0.789151668548584
80543.xlsx,0.017600303515791893,0.015158255584537983,0.08535437285900116,0.1231188677032809,0.7498277425765991
86229.xlsx,0.026929626241326332,0.023287655785679817,0.10984182357788086,0.15260293504936207,0.7714694738388062
42148.xlsx,0.01531757228076458,0.014969725161790848,0.08570503443479538,0.12235082820230866,0.627171516418457
72122.xlsx,0.013976060785353184,0.014246359467506409,0.08585214614868164,0.11935811437646963,0.6799838542938232
80459.xlsx,0.011831761337816715,0.014554878696799278,0.07350635528564453,0.12064360197208668,0.6708438396453857
85295.xlsx,0.008389140479266644,0.011042487807571888,0.061776936054229736,0.10508324227759576,0.43531954288482666
80134.xlsx,0.01681002974510193,0.01632685214281082,0.09476137906312943,0.12777657118114738,0.7032818794250488
87587.xlsx,0.004596740938723087,0.006964793428778648,0.06911866366863251,0.08345533792861094,0.8183581233024597
37402.xlsx,0.01452871598303318,0.013602981343865395,0.07380664348602295,0.11663181960282278,0.795685350894928
88842.xlsx,0.014489048160612583,0.01120459008961916,0.0851396769285202,0.10585173635618435,0.8487250804901123
87581.xlsx,0.004819169174879789,0.005672022700309753,0.05441704019904137,0.07531283224198751,0.84669029712677
43989.xlsx,0.023203397169709206,0.02064049057662487,0.09787537902593613,0.14366798730623628,0.7983322739601135
40574.xlsx,0.01113053411245346,0.012204490602016449,0.08237160742282867,0.11047393630181034,0.6511243581771851
43821.xlsx,0.0131309125572443,0.014598153531551361,0.08187370747327805,0.12082281875354242,0.4972691535949707
42149.xlsx,0.015451367944478989,0.015911711379885674,0.08213727176189423,0.12614163222301222,0.7454684972763062
38764.xlsx,0.010316824540495872,0.008072711527347565,0.06470806896686554,0.08984826947330463,0.5720618963241577
26323.xlsx,0.01705649122595787,0.004177791997790337,0.058453235775232315,0.06463584143329718,-0.43684446811676025
40575.xlsx,0.011639113537967205,0.010014672763645649,0.07379358261823654,0.10007333692670416,0.7266638875007629
72022.xlsx,0.027676550671458244,0.023662017658352852,0.10450411587953568,0.1538246328074696,0.7779558300971985
43823.xlsx,0.014125729911029339,0.014188721776008606,0.053237851709127426,0.11911642110141073,0.14378368854522705
26898.xlsx,0.015085245482623577,0.012374961748719215,0.07918769866228104,0.11124280537958046,0.7603992819786072
87588.xlsx,0.005022523459047079,0.005538278259336948,0.05674588307738304,0.07441960937371916,0.901127278804779
43382.xlsx,0.012464971281588078,0.01354015339165926,0.0746997520327568,0.1163621647772989,0.6895490884780884
87579.xlsx,0.0028106498066335917,0.007368412334471941,0.07000906020402908,0.08583945674613709,0.318433940410614
42760.xlsx,0.013604514300823212,0.012996392324566841,0.0812079980969429,0.11400172070879826,0.7511903047561646
36284.xlsx,0.015882939100265503,0.016277195885777473,0.07234971225261688,0.12758211428635863,0.6936702132225037
