Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.018353303894400597,0.017946677282452583,0.0903460830450058,0.13396520922408395,0.5772801637649536
80458.xlsx,0.021277524530887604,0.01952885091304779,0.10387416929006577,0.1397456650957295,0.6441404223442078
26323 (1).xlsx,0.023629045113921165,0.0033000230323523283,0.04914940893650055,0.05744582693592572,-0.13495826721191406
43823 (1).xlsx,0.014347709715366364,0.014530163258314133,0.05932958424091339,0.12054112683360038,0.12317943572998047
43976.xlsx,0.01886626146733761,0.017686963081359863,0.08695997297763824,0.1329923421906685,0.6870669722557068
42945.xlsx,0.01509074866771698,0.010050380602478981,0.07306510955095291,0.10025158653347577,0.746932864189148
80543.xlsx,0.023335348814725876,0.020122628659009933,0.10319257527589798,0.14185425146610844,0.6678955554962158
86229.xlsx,0.03575940802693367,0.03184324502944946,0.13292701542377472,0.1784467568476644,0.6875102519989014
42148.xlsx,0.020397497341036797,0.020380280911922455,0.10187705606222153,0.1427595212653869,0.4924190044403076
72122.xlsx,0.01818310283124447,0.01906408555805683,0.10150003433227539,0.13807275458270843,0.5717631578445435
80459.xlsx,0.012622841633856297,0.017180154100060463,0.08434303104877472,0.1310730868640106,0.6114736795425415
85295.xlsx,0.009225704707205296,0.009678559377789497,0.05520963668823242,0.09837966953486628,0.5050668716430664
80134.xlsx,0.022897616028785706,0.02301725372672081,0.11491040885448456,0.15171438206946897,0.5816930532455444
87587.xlsx,0.006247465033084154,0.010624711401760578,0.08498809486627579,0.10307624072384759,0.7229074239730835
37402.xlsx,0.017981605604290962,0.016979334875941277,0.08702421933412552,0.13030477687307276,0.7449730634689331
88842.xlsx,0.01953161135315895,0.015058907680213451,0.09926892817020416,0.12271474108766824,0.7966873645782471
87581.xlsx,0.00611081114038825,0.008169296197593212,0.06595706939697266,0.09038415899699025,0.7791911959648132
43989.xlsx,0.02936687134206295,0.0264279842376709,0.11532748490571976,0.1625668608224656,0.7417856454849243
40574.xlsx,0.014207065105438232,0.015636302530765533,0.09581800550222397,0.12504520195019692,0.553023099899292
43821.xlsx,0.015426953323185444,0.018361231312155724,0.09420717507600784,0.13550362102968216,0.36767643690109253
42149.xlsx,0.019236302003264427,0.02075822465121746,0.09875986725091934,0.14407714826167772,0.6679413318634033
38764.xlsx,0.013530394062399864,0.010962472297251225,0.07787483930587769,0.10470182566341059,0.41887444257736206
26323.xlsx,0.023629045113921165,0.0033000230323523283,0.04914940893650055,0.05744582693592572,-0.13495826721191406
40575.xlsx,0.014790119603276253,0.012471193447709084,0.08540866523981094,0.11167449774997461,0.6596167087554932
72022.xlsx,0.0356643944978714,0.031080063432455063,0.12398018687963486,0.17629538687230323,0.7083449363708496
43823.xlsx,0.014347709715366364,0.014530163258314133,0.05932958424091339,0.12054112683360038,0.12317943572998047
26898.xlsx,0.019510602578520775,0.016054807230830193,0.09317172318696976,0.12670756579948253,0.6891510486602783
87588.xlsx,0.007211100775748491,0.00863953772932291,0.06985810399055481,0.09294911365539163,0.8457617163658142
43382.xlsx,0.015073885209858418,0.017790239304304123,0.0885293185710907,0.1333800558715737,0.5921024084091187
87579.xlsx,0.0033795679919421673,0.011257743462920189,0.08887241035699844,0.10610251393308355,-0.04132270812988281
42760.xlsx,0.01731208525598049,0.01666397601366043,0.095360167324543,0.1290890235986795,0.680976152420044
36284.xlsx,0.018694089725613594,0.019755063578486443,0.08558791875839233,0.1405527074747635,0.6282182931900024
