Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.011914525181055069,0.011920684017241001,0.0683019682765007,0.10918188502329955,0.7192176580429077
80458.xlsx,0.011415204033255577,0.010488159023225307,0.07204040884971619,0.1024117133106624,0.8088821768760681
26323 (1).xlsx,0.012145265005528927,0.003997593652456999,0.05775214359164238,0.06322652649368775,-0.3748699426651001
43823 (1).xlsx,0.014302520081400871,0.014453369192779064,0.055290184915065765,0.12022216597940275,0.12781363725662231
43976.xlsx,0.012883959338068962,0.012477006763219833,0.06445828080177307,0.11170052266314529,0.7792460322380066
42945.xlsx,0.009684642776846886,0.0073372856713831425,0.057520922273397446,0.08565795743177129,0.8152481913566589
80543.xlsx,0.01386962365359068,0.012303059920668602,0.07292423397302628,0.11091915939398658,0.7969499826431274
86229.xlsx,0.02093944326043129,0.018582766875624657,0.09413997828960419,0.13631862262957567,0.8176403045654297
42148.xlsx,0.011757972650229931,0.01179912406951189,0.07411059737205505,0.10862377304030592,0.70613694190979
72122.xlsx,0.011060151271522045,0.011567415669560432,0.07550867646932602,0.10755192080832603,0.7401609420776367
80459.xlsx,0.011188048869371414,0.013417273759841919,0.06765317916870117,0.11583295627688141,0.6965705752372742
85295.xlsx,0.00773414084687829,0.007840380072593689,0.04724086448550224,0.08854592069990401,0.5990659594535828
80134.xlsx,0.01261477917432785,0.012423061765730381,0.07995276153087616,0.11145878954003753,0.7742279171943665
87587.xlsx,0.0032031298615038395,0.005062244366854429,0.05980624631047249,0.07114945092447607,0.8679766058921814
37402.xlsx,0.012242920696735382,0.011750970967113972,0.06386589258909225,0.10840189558819519,0.8235023021697998
88842.xlsx,0.010738736018538475,0.00872257724404335,0.0743662640452385,0.09339473884562957,0.8822351098060608
87581.xlsx,0.00372310820966959,0.004360922146588564,0.04779098555445671,0.0660372784614006,0.8821281790733337
43989.xlsx,0.019239190965890884,0.01764014922082424,0.08579699695110321,0.1328162234850255,0.8276470899581909
40574.xlsx,0.00888911634683609,0.009743648581206799,0.0706745907664299,0.09870992139195937,0.7214696407318115
43821.xlsx,0.011339126154780388,0.01259113010019064,0.07430438697338104,0.11221020497348108,0.5663869976997375
42149.xlsx,0.012975520454347134,0.013420521281659603,0.07100033760070801,0.11584697355416586,0.7853187918663025
38764.xlsx,0.00797535665333271,0.006435848772525787,0.055305223912000656,0.08022374195040884,0.6588327884674072
26323.xlsx,0.012145265005528927,0.003997593652456999,0.05775214359164238,0.06322652649368775,-0.3748699426651001
40575.xlsx,0.009303431026637554,0.00834561511874199,0.06436669826507568,0.09135433825901203,0.7722184062004089
72022.xlsx,0.022230900824069977,0.019577868282794952,0.09141585975885391,0.13992093582732698,0.8162814378738403
43823.xlsx,0.014302520081400871,0.014453369192779064,0.055290184915065765,0.12022216597940275,0.12781363725662231
26898.xlsx,0.01187770813703537,0.010002964176237583,0.06810624897480011,0.10001481978305807,0.8063252568244934
87588.xlsx,0.003503352403640747,0.0038729829248040915,0.04794483631849289,0.062233294343173665,0.9308571815490723
43382.xlsx,0.010569890029728413,0.011623125523328781,0.06728165596723557,0.10781060023638112,0.733502984046936
87579.xlsx,0.002170667750760913,0.004825501702725887,0.055999819189310074,0.06946583118862026,0.5536490678787231
42760.xlsx,0.01087222807109356,0.010367940180003643,0.06892190128564835,0.10182308274651501,0.801510751247406
36284.xlsx,0.014138479717075825,0.014679803512990475,0.0635368600487709,0.12116023899361736,0.7237324714660645
