Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.01749134622514248,0.01718289963901043,0.08803815394639969,0.13108355975869143,0.5952703952789307
80458.xlsx,0.020069504156708717,0.01836446113884449,0.10028019547462463,0.13551553836680313,0.6653581857681274
26323 (1).xlsx,0.022062301635742188,0.0035399985499680042,0.051690127700567245,0.05949788693699974,-0.2174917459487915
43823 (1).xlsx,0.014281307347118855,0.014425472356379032,0.057817742228507996,0.120106087923881,0.12949705123901367
43976.xlsx,0.018103238195180893,0.017030401155352592,0.08465737104415894,0.1305005791379969,0.6986834406852722
42945.xlsx,0.014293584041297436,0.00967796053737402,0.07116580009460449,0.09837662597067466,0.7563103437423706
80543.xlsx,0.022112594917416573,0.019109994173049927,0.09977582842111588,0.13823890253126986,0.6846081018447876
86229.xlsx,0.0339762419462204,0.030091192573308945,0.12858590483665466,0.17346813129018523,0.7047038078308105
42148.xlsx,0.019351746886968613,0.019380539655685425,0.09915384650230408,0.13921400667923262,0.5173180103302002
72122.xlsx,0.017294613644480705,0.018163200467824936,0.09878428280353546,0.1347709184795627,0.5919997692108154
80459.xlsx,0.012377512641251087,0.016656212508678436,0.08235421031713486,0.12905894974266,0.6233224868774414
85295.xlsx,0.009035320021212101,0.011952309869229794,0.06470861285924911,0.10932662013082538,0.3887939453125
80134.xlsx,0.021637070924043655,0.02170628309249878,0.11125823110342026,0.14733052328862062,0.605518102645874
87587.xlsx,0.005841139703989029,0.009962205775082111,0.08236368745565414,0.09981084998677303,0.740185558795929
37402.xlsx,0.01723184995353222,0.016281479969620705,0.08447486907243729,0.12759890269755733,0.7554547786712646
88842.xlsx,0.018397117033600807,0.014273828826844692,0.0966111496090889,0.11947313014583945,0.80728679895401
87581.xlsx,0.0058170645497739315,0.007700377609580755,0.06404498219490051,0.08775179547781775,0.7918657064437866
43989.xlsx,0.028086183592677116,0.02522430568933487,0.11196602135896683,0.15882161593855815,0.7535461187362671
40574.xlsx,0.013492408208549023,0.015025566332042217,0.09349025040864944,0.12257881681612944,0.570481538772583
43821.xlsx,0.014993716962635517,0.017651135101914406,0.09202802181243896,0.13285757449959112,0.39213067293167114
42149.xlsx,0.018444975838065147,0.01976972259581089,0.0956142246723175,0.14060484556305622,0.6837538480758667
38764.xlsx,0.012723752297461033,0.010242857038974762,0.07474157214164734,0.10120700093854557,0.4570215940475464
26323.xlsx,0.022062301635742188,0.0035399985499680042,0.051690127700567245,0.05949788693699974,-0.2174917459487915
40575.xlsx,0.014021161012351513,0.011996309272944927,0.08325870335102081,0.10952766441837847,0.672577977180481
72022.xlsx,0.0340687558054924,0.02950434386730194,0.12023679912090302,0.17176828539431235,0.7231314778327942
43823.xlsx,0.014281307347118855,0.014425472356379032,0.057817742228507996,0.120106087923881,0.12949705123901367
26898.xlsx,0.018524739891290665,0.01528599951416254,0.09045959264039993,0.12363656220617969,0.70403653383255
87588.xlsx,0.00672009214758873,0.008058893494307995,0.06767857074737549,0.08977134004963942,0.8561277389526367
43382.xlsx,0.014509125612676144,0.01695946790277958,0.08612369745969772,0.1302285218482479,0.6111505031585693
87579.xlsx,0.0032727723009884357,0.010444505140185356,0.08514862507581711,0.10219836172945904,0.033900439739227295
42760.xlsx,0.01651349477469921,0.015956424176692963,0.0929148867726326,0.12631874040178268,0.6945219039916992
36284.xlsx,0.018093235790729523,0.019007069990038872,0.08297321200370789,0.13786613068494696,0.6422951817512512
